modo,unidades,repeticao,tempo_ms,memoria_mb,cpu_pico,soma_total,soma_diagonal,checksum,valido
threads,2,1,638.636,18.000,11.244,30250000000,30250000,726749375000000,true
processos,2,1,1671.794,46.463,16.048,30250000000,30250000,726749375000000,true
threads,2,2,603.987,17.716,16.294,30250000000,30250000,726749375000000,true
processos,2,2,1636.182,45.716,8.723,30250000000,30250000,726749375000000,true
threads,2,3,582.047,33.716,16.059,30250000000,30250000,726749375000000,true
processos,2,3,1641.191,61.716,18.495,30250000000,30250000,726749375000000,true
threads,2,4,631.319,19.584,15.383,30250000000,30250000,726749375000000,true
processos,2,4,1676.332,47.584,14.348,30250000000,30250000,726749375000000,true
threads,2,5,593.750,36.084,15.681,30250000000,30250000,726749375000000,true
processos,2,5,1622.883,64.084,17.185,30250000000,30250000,726749375000000,true
threads,4,1,299.371,53.584,0.079,30250000000,30250000,726749375000000,true
processos,4,1,1554.257,103.876,27.988,30250000000,30250000,726749375000000,true
threads,4,2,294.728,71.084,5.404,30250000000,30250000,726749375000000,true
processos,4,2,1766.014,121.376,26.169,30250000000,30250000,726749375000000,true
threads,4,3,319.856,89.084,4.923,30250000000,30250000,726749375000000,true
processos,4,3,1861.854,138.876,19.528,30250000000,30250000,726749375000000,true
threads,4,4,313.508,106.584,4.765,30250000000,30250000,726749375000000,true
processos,4,4,1590.145,156.376,26.655,30250000000,30250000,726749375000000,true
threads,4,5,305.580,124.084,5.439,30250000000,30250000,726749375000000,true
processos,4,5,1562.920,173.876,27.068,30250000000,30250000,726749375000000,true
threads,8,1,222.412,143.584,5.432,30250000000,30250000,726749375000000,true
processos,8,1,2042.473,234.296,21.913,30250000000,30250000,726749375000000,true
threads,8,2,227.764,24.675,6.297,30250000000,30250000,726749375000000,true
processos,8,2,2032.380,115.887,27.923,30250000000,30250000,726749375000000,true
threads,8,3,233.968,44.675,6.428,30250000000,30250000,726749375000000,true
processos,8,3,2054.735,135.387,35.774,30250000000,30250000,726749375000000,true
threads,8,4,225.530,64.175,6.453,30250000000,30250000,726749375000000,true
processos,8,4,2011.509,155.387,46.545,30250000000,30250000,726749375000000,true
threads,8,5,237.438,83.675,6.428,30250000000,30250000,726749375000000,true
processos,8,5,1940.967,175.387,25.757,30250000000,30250000,726749375000000,true
